time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
1677240000,23861.826534823213,23921.050000000003,24024.6,23861.826534823213,156.0809684,3735553.256269094,green,162.2111327901,-38.464084712803015,8.610577537722051,-47.074662250525066,23866.45833333333,23897.816666666666,23839.716666666664,23924.55833333333,23808.35833333333,23955.916666666668,23781.61666666666,23814.86708732364,23871.26,23927.652912676367,0.4724753756304868,0.941456183383736,49.85923098458898,23871.26,23858.1175,23894.73125,23879.77915822136,23877.78771043868,23901.51583754509,42.084530636150966,32.313087250764056,139.58277763146037,0.0148426884080815,77.67797180650709
1677242700,23891.43826741161,23905.275,23986.5,23840.3,114.83839799,2744172.576947617,red,162.0507644234,-33.680798402510845,10.715091078411376,-44.39588948092222,23935.82551160773,24009.824488392263,23847.05102321548,24098.598976784524,23773.052046430952,24172.59795356905,23684.27755803869,23816.233224278363,23878.575,23940.91677572164,0.5221565836456952,0.7141421197177554,48.39115102634052,23878.575,23859.7475,23896.393750000003,23888.27777214757,23882.78539944983,23901.87385301699,51.27220484026096,40.62087236061373,140.0554363720704,0.0682323121858636,49.37957827911898
1677245400,23898.3566337058,23800.6,23902.9,23675.0,320.98409243000003,7629775.009435223,red,164.004395464,-37.89952510068542,5.197091504189437,-43.09661660487486,23910.69166666667,23981.08333333334,23834.88333333334,24056.89166666667,23764.49166666667,24127.28333333334,23688.68333333333,23788.38973076892,23871.915,23955.440269231083,0.6997785408592678,0.0730932647298561,39.979203473074975,23871.915,23854.230000000003,23894.230000000003,23859.05184809838,23867.84259954986,23892.22872415823,51.07577668055031,48.14417071898743,146.49969091692265,-0.2312857159325274,-142.2701591830945
1677248100,23849.4783168529,23774.175000000003,23857.4,23700.4,131.61835618,3130746.681514188,green,163.1716509856,-42.88086909383492,0.1725980088319545,-43.05346710266687,23792.83333333333,23910.666666666664,23682.766666666663,24020.733333333334,23564.93333333333,24138.566666666666,23454.86666666666,23739.0607281708,23854.435,23969.809271829203,0.9673192580683756,0.152175486234859,38.17507598356303,23854.435,23848.135,23888.2725,23830.759565398923,23850.81212690443,23880.98551233364,40.00615687298487,47.45137946459872,147.24971299428535,-0.2557150424006464,-150.80114551506566
1677250800,23811.82665842645,23606.175,23841.7,23363.7,525.95838617,12394973.004634973,red,165.4578737319,-59.69667001047492,-13.314562326246431,-46.38210768422849,23777.325,23854.25,23697.25,23934.325,23620.325,24011.25,23540.25,23575.25020031596,23801.455,24027.659799684043,1.9007644674163384,0.0683557548894643,29.164277492425807,23801.455,23828.917500000003,23871.815,23755.89804359928,23806.332649285443,23854.813082587578,33.66117163752521,41.581035063686805,170.87473349469357,-0.8075139663043837,-295.83310762027696
1677253500,23709.000829213222,23238.425,23709.000829213222,22937.1,984.48883496,22808996.59773128,red,173.9977792592,-101.52732121284862,-44.1161708228961,-57.41115038995252,23603.858333333334,23844.016666666663,23366.016666666663,24081.858333333334,23125.858333333334,24322.016666666663,22888.016666666663,23197.19913465108,23664.93,24132.66086534892,3.952945268369016,0.0440700714909684,18.73791661704922,23664.93,23768.095,23834.155,23583.40702906619,23703.076713051727,23796.10945567448,30.921595811403293,34.862974773971125,213.80516890316005,-2.5505678994743586,-330.4871073601363
1677256200,23473.71291460661,23166.35,23473.71291460661,23110.1,250.5029179,5810339.047904147,green,174.6585620482,-138.8931895769565,-65.18563134960318,-73.70755822735332,23294.841943071075,23652.58388614215,22880.683056928927,24066.7427722843,22522.94111385785,24424.48471535537,22108.782227715703,22984.16885100269,23517.145,24050.121148997303,4.532660312272621,0.1709092886614544,17.423217019682433,23517.145,23697.86,23792.44375,23444.38801937746,23605.49003795141,23736.132364657857,28.492370730960744,31.02504605996309,224.5057221676924,-2.9425565699011766,-211.8164691586433
1677258900,23320.031457303303,23110.15,23320.031457303303,23024.7,178.48103689,4124741.971929219,red,174.7503988082,-171.06880508071845,-77.8889974826921,-93.17980759802634,23250.054304868867,23390.00860973773,23026.395695131123,23613.66721947548,22886.44139026225,23753.621524344348,22662.78278052451,22853.67253226821,23379.055,23904.437467731783,4.494471378178341,0.2440864355819369,16.453806008466525,23379.055,23625.485,23750.026250000003,23332.97534625164,23515.42821286933,23676.514996595204,21.56704980842925,26.993672116931105,229.5647032488073,-3.0366410868552776,-170.50293029842774
1677261600,23215.09072865165,23088.575,23215.09072865165,23016.0,191.14477516,4415582.929921347,green,174.0225458131,-196.0492012152281,-82.29551489376139,-113.7536863214667,23151.62715243444,23278.554304868867,22983.222847565565,23446.958609737736,22856.29569513113,23573.88576217217,22687.891390262263,22863.21846669324,23241.935,23620.651533306755,3.2589070858924347,0.2975266637279646,16.083834425211748,23241.935,23548.185,23706.98875,23251.50856416776,23437.81853780218,23620.520711205187,16.973946360153423,22.344455633181145,227.3879907775817,-3.239517927881961,-137.50458686681384
1677264300,23151.83286432583,23083.7,23151.83286432583,23009.0,134.31022296,3098773.08044369,red,172.8101586248,-213.7754466059123,-80.01740822755647,-133.75803837835582,23106.55524288388,23197.110485767764,22998.019757116115,23305.64597153553,22907.46451423224,23396.20121441941,22798.929028464467,23020.634937610368,23137.44,23254.24506238964,1.0096628009808712,0.2699586006780358,15.996309791735523,23137.44,23469.4475,23663.605,23195.57237611184,23373.43334911088,23569.394929185644,14.44061302682016,17.660536398467617,221.3483388881708,-3.2984480171085715,-114.6105482228469
1677267000,23117.76643216292,23092.825,23289.0,22844.0,460.59797725,10641252.785144633,green,175.5264132984,-224.4994229478325,-72.59310765558132,-151.90631529225118,23081.51095477528,23154.02190955056,23011.189045224724,23224.343819101105,22938.678090449448,23296.85477387638,22868.356180898896,23047.61129057676,23108.32,23169.02870942324,0.525427286996523,0.372382396634609,16.907783171587024,23108.32,23386.625,23622.37125,23161.323250741232,23322.413649272534,23524.00731688225,16.16178104126564,15.858780142746417,237.3234575390157,-3.462327113567348,-95.1758042738732
1677269700,23105.29571608145,23219.175,23325.9,23105.29571608145,266.22023626,6185803.371637836,green,176.6987125353,-220.2637984527792,-54.685986528422376,-165.57781192435678,23075.275,23306.55,22861.55,23520.275,22630.275,23751.55,22416.55,23017.0216081468,23118.885,23220.748391853205,0.8812137077822153,0.9922769513925404,28.47962443349624,23118.885,23318.015,23588.88125,23180.607167160822,23303.642985768434,23494.97566765537,22.111646847534605,17.571346971873478,237.0199962862289,-2.870077838468715,-56.73094693662505
1677272400,23162.23535804073,23181.325,23235.7,23139.3,82.55358471,1913823.421853794,red,174.7679347831,-217.4545336950905,-41.50137741658696,-175.95315627850354,23216.79023869382,23328.284761306182,23107.68047738764,23437.39452261237,22996.18595477527,23548.889045224736,22887.076193469085,23020.76532764569,23133.120000000003,23245.47467235431,0.9713750013340844,0.7145215636782102,27.255106024449265,23133.120000000003,23256.0875,23555.15875,23180.846444773884,23281.40335199236,23465.104175497712,27.142272290925582,21.805233393241952,226.9757108372127,-2.6019302034402405,-55.126262166754806
1677275100,23171.780179020367,23108.475,23171.780179020367,23057.0,125.00205241,2888711.876441681,red,174.3849063506,-218.5868244553567,-34.10693454148253,-184.47988991387416,23185.441666666666,23231.58333333333,23135.18333333333,23281.841666666667,23089.041666666664,23327.983333333334,23038.78333333333,23030.054654469022,23137.1,23244.14534553097,0.925313418976212,0.3662949806083926,25.02486802053357,23137.1,23189.5175,23518.82625,23156.722629849257,23249.961833448288,23431.139492116978,27.584138008922025,25.612685715794083,219.64351720598327,-2.8000971642549293,-63.510850677089365
1677277800,23140.127589510183,23095.175,23170.1,22976.0,165.83580929,3825717.48546654,green,175.12412071889997,-218.0438975643337,-26.851206120367664,-191.19269144396608,23112.418393006792,23167.836786013584,23053.056606993217,23227.19857202716,22997.638213986425,23282.61696503395,22938.27642797285,23036.6207113873,23139.395,23242.16928861269,0.8883057539983048,0.2848683722509657,24.62863519591364,23139.395,23138.4175,23483.667500000003,23136.20675323284,23221.818772821323,23399.14287382012,24.319587896374312,26.348666065407315,217.81898026269863,-2.16468784121104,-66.5815683969211
1677280500,23117.65129475509,23175.225,23207.6,23117.65129475509,119.1422002,2761299.455809806,green,175.0479694247,-208.74794176579235,-14.044200257461,-194.7037415083313,23080.425,23184.85,22990.75,23274.525,22886.325,23378.95,22796.65,23062.236268697976,23155.875,23249.513731302024,0.8087686714669525,0.6033226301282676,31.64399142793405,23155.875,23132.0975,23450.09625,23149.21283548856,23213.3471777629,23377.81736202773,25.222176527156176,25.70863414415085,210.2908388153629,-0.2719633537987223,-38.359916019135134
