model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
LightGBM with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, time, ATR, ROC, avg_vol_last_100, STOCHd_14_3_3, STOCHk_14_3_3, volume, MACDh_12_26_9",4,0.6400359066427289,0.7162066525123851,0.6193390452876377,0.8489932885906041,0.6615046254308
LightGBM with SHAP Feature Selection,18,"BBP_5_2.0, BBB_5_2.0, ROC, time, ATR, CCI, volume, avg_vol_last_100, STOCHd_14_3_3, turnover",5,0.6149012567324955,0.6732673267326732,0.6063100137174211,0.7568493150684932,0.6535797363659861
XGBoost with SHAP Feature Selection,21,"BBP_5_2.0, S3, BBB_5_2.0, volume, R3, CCI, MACDh_12_26_9, BBL_5_2.0, STOCHk_14_3_3, RSI",1,0.5880503144654088,0.6260704091341579,0.6195856873822976,0.6326923076923077,0.5991669620701878
XGBoost with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, S3, volume, MACDh_12_26_9, STOCHk_14_3_3, RSI, R3, ROC, STOCHd_14_3_3",2,0.5712788259958071,0.6251145737855178,0.5920138888888888,0.6621359223300971,0.5912908861711303
XGBoost with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, STOCHd_14_3_3, S3, volume, RSI, ROC, STOCHk_14_3_3, turnover, MACDh_12_26_9",3,0.5649895178197065,0.5180023228803716,0.6043360433604336,0.4532520325203252,0.6090389962341182
XGBoost with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, volume, ATR, S3, ROC, avg_vol_last_100, CCI, RSI, STOCHk_14_3_3",4,0.5618448637316562,0.5717213114754099,0.565922920892495,0.577639751552795,0.5980403792644169
XGBoost with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, S3, ROC, volume, CCI, STOCHd_14_3_3, ATR, STOCHk_14_3_3, RSI",5,0.5618448637316562,0.5524625267665954,0.6128266033254157,0.5029239766081871,0.599594223654374
LightGBM with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, volume, S3, R3, MACDh_12_26_9, CCI, ROC, RSI, STOCHk_14_3_3",1,0.6058700209643606,0.650557620817844,0.6294964028776978,0.6730769230769231,0.6267103863878057
LightGBM with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, MACDh_12_26_9, volume, RSI, ATR, STOCHd_14_3_3, S3, R3, avg_vol_last_100",2,0.5943396226415094,0.6485013623978202,0.6092150170648464,0.6932038834951456,0.6170024548289361
LightGBM with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, volume, S3, S2, STOCHd_14_3_3, RSI, ROC, turnover, CCI",3,0.5775681341719078,0.5373134328358209,0.6174142480211082,0.47560975609756095,0.6368299721958258
LightGBM with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, ATR, volume, MACDh_12_26_9, ROC, STOCHd_14_3_3, RSI, turnover, avg_vol_last_100",4,0.590146750524109,0.6170421155729676,0.5855018587360595,0.6521739130434783,0.6279797620146553
LightGBM with SHAP Feature Selection,21,"BBP_5_2.0, BBB_5_2.0, turnover, S2, CCI, RSI, ATR, volume, MACDh_12_26_9, STOCHd_14_3_3",5,0.6079664570230608,0.6587591240875912,0.6192109777015438,0.7037037037037037,0.6379308058506055
XGBoost with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, volume, S3, ROC, CCI, STOCHd_14_3_3, ATR, high, turnover",1,0.565947242206235,0.6313645621181263,0.575139146567718,0.6997742663656885,0.5992737265678674
XGBoost with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, S3, volume, CCI, ATR, MACDh_12_26_9, STOCHd_14_3_3, ROC, RSI",2,0.6115107913669064,0.6326530612244898,0.6488372093023256,0.6172566371681416,0.6573286846128897
XGBoost with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, volume, RSI, CCI, ATR, STOCHd_14_3_3, avg_vol_last_100, STOCHk_14_3_3, S2",3,0.5695443645083933,0.5573366214549939,0.5994694960212201,0.5207373271889401,0.6087269585253456
XGBoost with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, ATR, volume, CCI, MACDh_12_26_9, avg_vol_last_100, STOCHd_14_3_3, S3, RSI",4,0.5863309352517986,0.6110484780157835,0.6076233183856502,0.6145124716553289,0.6292084263730938
XGBoost with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, ATR, S3, CCI, volume, turnover, RSI, ROC, avg_vol_last_100",5,0.579136690647482,0.5960874568469505,0.6152019002375297,0.578125,0.6195526461880089
LightGBM with SHAP Feature Selection,24,"BBP_5_2.0, BBB_5_2.0, S3, volume, ROC, CCI, high, ATR, low, RSI",1,0.6007194244604317,0.6770126091173618,0.5935374149659864,0.7878103837471784,0.6324525295445491
