model,duration,best_features,accuracy
SelectKBest_LogisticRegression,42,"['volume', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'ROC', 'CCI']",0.5198402861283261
LogisticRegression_LogisticRegression,42,['time'],0.5187913544846299
RFA_LogisticRegression,45,"['BBP_5_2.0', 'low', 'BBB_5_2.0', 'time', 'open', 'volume', 'close', 'avg_vol_last_100', 'high', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'RSI', 'BBU_5_2.0', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5404896421845574
RFE_LogisticRegression,45,"['volume', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHk_14_3_3', 'ROC', 'CCI']",0.5483992467043315
SelectKBest_LogisticRegression,45,"['volume', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'ROC', 'CCI']",0.5468926553672316
LogisticRegression_LogisticRegression,45,['time'],0.5404896421845574
RFA_LogisticRegression,48,"['BBP_5_2.0', 'S3', 'BBB_5_2.0', 'open', 'time', 'volume', 'close', 'high', 'turnover', 'low', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'R1', 'PP', 'S1', 'R2', 'S2', 'R3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5158824432539009
RFE_LogisticRegression,48,"['turnover', 'avg_vol_last_100', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHd_14_3_3']",0.5472473394584373
SelectKBest_LogisticRegression,48,"['low', 'volume', 'turnover', 'avg_vol_last_100', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0', 'ATR']",0.5709752490848707
LogisticRegression_LogisticRegression,48,['time'],0.5158824432539009
RFA_LogisticRegression,51,"['BBP_5_2.0', 'time', 'volume', 'high', 'open', 'close', 'low', 'avg_vol_last_100', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBB_5_2.0', 'BBU_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5196755065063416
RFE_LogisticRegression,51,"['volume', 'turnover', 'avg_vol_last_100', 'MACDs_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5355021138747049
SelectKBest_LogisticRegression,51,"['time', 'volume', 'turnover', 'MACD_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'CCI']",0.5196755065063416
LogisticRegression_LogisticRegression,51,['time'],0.5196755065063416
RFA_LogisticRegression,54,"['BBP_5_2.0', 'S1', 'turnover', 'time', 'close', 'low', 'volume', 'high', 'MACDh_12_26_9', 'avg_vol_last_100', 'open', 'MACD_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5228819733021414
RFE_LogisticRegression,54,"['volume', 'R2', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5364802331188885
SelectKBest_LogisticRegression,54,"['low', 'volume', 'turnover', 'R1', 'R2', 'R3', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'CCI']",0.5650321667128391
LogisticRegression_LogisticRegression,54,['time'],0.5228819733021414
RFA_LogisticRegression,57,"['BBP_5_2.0', 'time', 'avg_vol_last_100', 'open', 'close', 'low', 'volume', 'high', 'turnover', 'MACD_12_26_9', 'MACDh_12_26_9', 'MACDs_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'SMA_10', 'SMA_20', 'EMA_5', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'STOCHd_14_3_3', 'ATR', 'ROC', 'CCI']",0.5141211432767661
RFE_LogisticRegression,57,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'STOCHk_14_3_3', 'CCI']",0.5543194152811722
SelectKBest_LogisticRegression,57,"['volume', 'turnover', 'avg_vol_last_100', 'MACD_12_26_9', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'ATR', 'ROC', 'CCI']",0.5447603639576377
LogisticRegression_LogisticRegression,57,['time'],0.5141211432767661
RFA_LogisticRegression,60,"['BBP_5_2.0', 'close', 'STOCHd_14_3_3', 'volume', 'time', 'open', 'turnover', 'high', 'low', 'avg_vol_last_100', 'MACD_12_26_9', 'MACDs_12_26_9', 'MACDh_12_26_9', 'PP', 'R1', 'S1', 'R2', 'S2', 'R3', 'S3', 'BBL_5_2.0', 'BBM_5_2.0', 'BBU_5_2.0', 'BBB_5_2.0', 'RSI', 'SMA_5', 'EMA_5', 'SMA_10', 'SMA_20', 'EMA_10', 'EMA_20', 'STOCHk_14_3_3', 'ATR', 'ROC', 'CCI']",0.5325267791262753
RFE_LogisticRegression,60,"['turnover', 'BBB_5_2.0', 'BBP_5_2.0', 'RSI', 'CCI']",0.5592550187008625
SelectKBest_LogisticRegression,60,"['low', 'volume', 'turnover', 'MACDh_12_26_9', 'R3', 'BBL_5_2.0', 'BBB_5_2.0', 'BBP_5_2.0', 'ROC', 'CCI']",0.567831972114088
LogisticRegression_LogisticRegression,60,['time'],0.5325267791262753
