date,time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
2023-02-02,01:18:00,23973.79125635593,24031.625,24125.8,23946.0,166.06377793,3990133.0058903582,red,132.4984408656,239.44366890479432,60.504634512777585,178.93903439201674,24070.527504237285,24316.997495762713,23877.05500847457,24510.469991525428,23630.585016949142,24756.939983050856,23437.112521186427,23584.062984563134,23906.420000000002,24228.77701543687,2.696823827548149,0.6942023812174779,82.10484989498012,23906.420000000002,23806.5175,23463.2975,23937.476311625152,23790.328056712344,23580.47269462852,86.08007709076713,87.50225819702105,211.58532454855813,2.1449846399717836,117.34007788825896
2023-02-02,01:47:00,24002.708128177965,23962.175,24002.708128177965,23935.4,139.4099683,3341223.220562606,red,133.16577618739998,239.5139254285241,48.45991282920585,191.05401259931824,24034.475000000002,24122.950000000004,23943.150000000005,24214.275,23854.675000000003,24302.750000000004,23763.350000000006,23680.678086593816,23952.335,24223.991913406182,2.268312575005175,0.5181110796640896,75.87779558924282,23952.335,23838.41,23511.170000000002,23945.709207750104,23821.572955491916,23616.825295140086,85.33952629291612,86.47164144207619,203.34530136651816,1.3489050786165153,94.38893913530625
2023-02-02,02:16:00,23982.441564088986,23906.800000000003,23982.441564088986,23829.6,158.20431663,3778926.872149279,red,134.0511808212,232.42208737243345,33.09445981849217,199.32762755394128,23966.76104272599,23998.122085451978,23930.813957274015,24034.069170903953,23899.452914548026,24065.43021362994,23863.50582909605,23833.02324002322,23990.555,24148.08675997678,1.3132814974624842,0.2341647169677323,71.2384725549812,23990.555,23858.542500000003,23557.603750000002,23932.739471833404,23837.068781766113,23644.441933698174,78.18095303952332,83.20018547440225,199.73789156098024,0.8492763802455103,61.25844035158809
2023-02-02,02:45:00,23944.62078204449,23892.7,23944.62078204449,23869.8,86.91600956,2076724.910081033,red,134.3363451236,223.09233291398778,19.01176428803717,204.0805686259506,23906.280521362994,23982.96104272599,23830.119478637003,24059.12208545198,23753.438957274007,24135.802606814977,23677.277914548016,23812.472728081753,23983.365,24154.25727191825,1.4250900315134951,0.234730544037201,70.06378182811919,23983.365,23874.695,23602.396249999998,23919.39298122227,23847.183548717727,23668.08555906025,71.00686372231102,78.1757810182502,190.81524088123103,0.6806447636916326,46.87149803867812
2023-02-02,03:14:00,23918.660391022247,23900.775,23931.0,23853.0,87.36764291,2086909.3803945729,green,134.9250813725,213.884493005924,7.843139503978733,206.04135350194528,23902.37359401483,23934.94718802966,23860.126405985167,23977.19437605932,23827.552811970338,24009.76797007415,23785.305623940676,23833.90368220554,23938.815,24043.72631779446,0.8764954973290036,0.31870402164557515,70.36516538287067,23938.815,23892.58,23648.076250000002,23913.186987481517,23856.927448950868,23690.24645819737,63.72475094398772,70.97085590194074,182.75700938971454,0.7539438725988659,33.652209836131995
2023-02-02,03:43:00,23909.71769551112,23890.225,23929.3,23840.4,100.13052336,2389939.137619445,red,135.5668115936,203.39134785851638,-2.1200045147431297,205.5113523732595,23894.925,23936.85,23858.85,23972.925,23816.925,24014.85,23780.85,23857.571006557624,23910.535,23963.498993442376,0.44301805411192846,0.3082659682554116,69.38236274619463,23910.535,23908.4775,23690.701250000002,23905.532991654345,23862.98154914162,23709.292033607144,57.27389051675579,64.00183506101824,176.05293729044905,0.6698972873320982,21.72238431904518
2023-02-02,04:12:00,23899.97134775556,23877.0,23901.5,23847.6,81.0794538,1936227.530584198,green,136.0525200609,191.79738686999553,-10.971172402611188,202.76855927260672,23886.641666666663,23932.883333333324,23843.983333333326,23975.54166666666,23797.741666666665,24021.783333333322,23755.08333333333,23873.233155120724,23893.5,23913.766844879276,0.16964316554105172,0.0929312110916555,68.09833909213411,23893.5,23922.9175,23731.927499999998,23896.021994436232,23865.530358388598,23725.264220882655,49.74679889135097,56.91514678403155,167.32772748398853,0.6084457665826815,7.6586298076641
2023-02-02,04:41:00,23888.48567387778,23894.0,23905.6,23874.6,63.11022459,1507984.529385504,green,136.3905393643,181.88419935055208,-16.70748793764372,198.5916872881958,23875.36666666667,23903.13333333334,23849.233333333337,23929.26666666667,23821.466666666667,23957.03333333334,23795.333333333336,23875.344532666193,23890.940000000002,23906.53546733381,0.13055549370438507,0.5981054281510352,68.89521208391285,23890.940000000002,23940.7475,23773.355,23895.347996290824,23870.706656863396,23741.334295084307,43.50061105827038,50.17376682212577,157.59003266370362,0.7518226322646991,11.741604778470325
2023-02-02,05:10:00,23891.242836938887,23880.4,23918.2,23849.9,77.70612946,1855238.765140653,red,136.7225580153,170.95980229856286,-22.10550799170636,193.06531029026922,23891.399999999998,23908.199999999997,23877.199999999997,23922.399999999998,23860.399999999998,23939.199999999997,23846.199999999997,23871.004090828817,23888.48,23905.95590917118,0.1463124415716876,0.26882461676666103,67.44379417380541,23888.48,23935.9225,23810.061250000002,23890.36533086055,23872.46908288823,23754.57864793342,38.323637778122546,43.85701590924802,151.21217318772472,-0.2016411289395766,-4.885507675572755
2023-02-02,05:39:00,23885.821418469444,23839.15,23885.821418469444,23802.2,89.23359091,2126683.069408256,red,137.258897871,157.1619436134024,-28.722693341493482,185.88463695489588,23882.833333333332,23915.766666666663,23847.466666666664,23951.13333333333,23814.533333333333,23984.066666666662,23779.166666666664,23837.12154766285,23876.155000000002,23915.188452337155,0.32696598206162586,0.02598351177896254,63.101559818340284,23876.155000000002,23907.485,23831.76875,23873.293553907035,23866.411067817644,23762.633062415953,33.8869494506678,38.57039942902029,146.3842621364189,-1.178828550139335,-56.6077309779399
